,User ID,City,User Longitude,User Latitude,Resturant Name,Resturant Longitude,Resturant Latitude,Categories,Special Diets,Review Score,Comments
11,246,Riyadh,46.98999991528681,24.736208336233922,Tokyo,46.68666408923927,24.71826120724121,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.1,Would not go back.
12,197,Jeddah,39.14789775793881,21.759121841649755,Aromi,39.10926895759512,21.603595561556073,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.2,The cashier had no care what so ever on what I had to say it still ended up being way overpriced.
13,190,Jeddah,39.15202387083369,21.111825811207876,Al Baik,39.15947334456595,21.595630718372867,"Fast Food,",Non,2.4,"I tried the chicken, with cranberry...mmmm!"
14,91,Jeddah,39.348996462325196,21.457711502653225,Ginger Leaf,39.10931546434358,21.6045682395325,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.1,I was disgusted because I was pretty sure that was human hair.
15,176,Jeddah,39.37318929821628,21.27961836062688,Myazu,39.15292379191963,21.550449421240426,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.1,I was shocked because no signs indicate cash only.
16,48,Jeddah,39.16887529219801,21.115232998899685,Aromi,39.10926895759512,21.603595561556073,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.0,Highly recommended.
17,369,Eastern Province,50.857188687471584,20.71753837070827,Steak House,49.569183240425424,27.129411976298083,"American, Steakhouse, Grill","Vegetarian Friendly, Gluten Free Options",1.1,Waitress was a little slow in service.
18,31,Jeddah,39.33547213030083,21.24739633342109,sayadiyah express,39.17745731867187,21.52752640532202,Seafood,Non,4.2,This place is not worth your time
19,134,Riyadh,46.77634403403251,24.841154867187782,Al Orjouan,46.63020102633448,24.665121345075363,"Mediterranean, Middle Eastern, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.4,did not like at all.
20,82,Eastern Province,49.74252935862142,25.416354791696346,Queen Of India,50.17982930366816,26.328297884880513,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",3.5,The Burrittos Blah!
21,386,Eastern Province,53.441326951174226,21.374924422218886,Taya Restaurant,50.20702596747264,26.2918470910966,"Chinese, Indian, Seafood, Grill, Arabic, Barbecue",Non,4.0,"The food, amazing."
22,234,Riyadh,46.775820013081955,24.900033786049185,Cafe Bateel,46.6293846412173,24.756378717673098,"Cafe, Healthy, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.1,Service is also cute.
23,394,Jeddah,39.13850914770156,21.091265010419562,sayadiyah express,39.17745731867187,21.52752640532202,Seafood,Non,3.9,I like it
24,71,Eastern Province,54.302302038806054,24.25649376304336,Manoosha Alreef,50.118294522924984,26.445349771191502,"Lebanese, Fast Food, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options",4.7,I could care less... The interior is just beautiful.
25,242,Eastern Province,47.83380536782696,19.86431661139604,The Blue Restaurant,50.22054889692208,26.291765783996706,"Seafood, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.6,So they performed.
26,189,Riyadh,46.634500193713045,24.50615321236317,La Brasserie,46.68410514351399,24.690431294537472,"French, International","Vegetarian Friendly, Vegan Options",4.5,That is right....the red velvet cake.....ohhh this stuff is so good.
27,286,Jeddah,39.200893041546195,21.73545206685908,Al Baik,39.15947334456595,21.595630718372867,"Fast Food,",Non,4.9,They never brought a salad we asked for.
28,410,Jeddah,39.372405428135274,21.363940212348925,Khayal Restaurant,39.14106005571364,21.60958323990262,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.1,"This has great Mexican street tacos, and friendly staff."
29,353,Eastern Province,48.60006647914463,26.913940114911327,Manoosha Alreef,50.118294522924984,26.445349771191502,"Lebanese, Fast Food, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options",3.6,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed."
30,479,Jeddah,39.14274926751935,21.466265000842448,Ginger Leaf,39.10931546434358,21.6045682395325,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.4,The worst was the salmon sashimi.
31,418,Riyadh,46.64204600596174,24.937789185896882,Lusin,46.68345090704749,24.697820747470395,"Mediterranean, Middle Eastern, Armenian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.6,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal."
32,134,Eastern Province,52.99138479509383,25.81557301478185,Queen Of India,50.17982930366816,26.328297884880513,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",4.6,This was like the final blow!
33,492,Jeddah,39.19721207986294,21.642343645484583,Ginger Leaf,39.10931546434358,21.6045682395325,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",5.0,I found this place by accident and I could not be happier.
34,225,Riyadh,46.956511375492646,24.68414188033115,Maestro Pizza,46.6187232397638,24.746505346219237,"Italian, Pizza, Fast Food","Vegetarian Friendly, Vegan Options",3.8,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere."
35,46,Jeddah,39.208707974692196,21.509500105779903,Byblos Restaurant,39.12999500974883,21.572715888585268,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.7,"Overall, I like this place a lot.The only redeeming quality of the restaurant was that it was very inexpensive."
36,474,Eastern Province,54.84144592759335,20.402250338929075,Taya Restaurant,50.20702596747264,26.2918470910966,"Chinese, Indian, Seafood, Grill, Arabic, Barbecue",Non,4.2,Ample portions and good prices.
37,444,Riyadh,46.74661730276805,24.759292146875143,Maestro Pizza,46.6187232397638,24.746505346219237,"Italian, Pizza, Fast Food","Vegetarian Friendly, Vegan Options",1.9,"Poor service, the waiter made me feel like I was stupid every time he came to the table."
38,158,Eastern Province,54.19340962259861,25.91377438150169,Steak House,49.569183240425424,27.129411976298083,"American, Steakhouse, Grill","Vegetarian Friendly, Gluten Free Options",3.6,My first visit to Hiro was a delight!
39,110,Riyadh,46.632304684055896,24.730288460701587,Burj Al Hamam,46.681993386802766,24.667666188182427,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.7,I like it
40,290,Eastern Province,50.86759935449355,24.851136518677784,Queen Of India,50.17982930366816,26.328297884880513,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",4.3,Service sucks.
41,31,Riyadh,46.90367305541018,24.534984940428423,Lusin,46.68345090704749,24.697820747470395,"Mediterranean, Middle Eastern, Armenian","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.8,great place
42,237,Eastern Province,53.63564148654312,28.155645792173274,Manoosha Alreef,50.118294522924984,26.445349771191502,"Lebanese, Fast Food, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options",4.8,There is not a deal good enough that would drag me into that establishment again.
43,487,Eastern Province,51.83958292033286,19.21165717081403,Pattis France,50.12045517873375,26.33514140215385,"French, Cafe, European","Vegetarian Friendly, Vegan Options",1.6,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and did not want to eat it for fear of getting sick.
44,57,Eastern Province,55.20747069736918,28.081769244114724,Manoosha Alreef,50.118294522924984,26.445349771191502,"Lebanese, Fast Food, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options",4.9,"On a positive note, our server was very attentive and provided great service."
45,302,Riyadh,46.97505417050906,24.89956359034459,Sultan Steakhouse Riyadh,46.61407829565047,24.750130635087018,"Steakhouse, Barbecue, Turkish",Gluten Free Options,1.4,the worst people behind the register.
46,369,Riyadh,46.80884494654307,24.860734889810125,Sultan Steakhouse Riyadh,46.61407829565047,24.750130635087018,"Steakhouse, Barbecue, Turkish",Gluten Free Options,4.0,The only thing I did like was the prime rib and dessert section.
47,187,Riyadh,46.51056932354378,24.619010880974944,Al Orjouan,46.63020102633448,24.665121345075363,"Mediterranean, Middle Eastern, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.6,It is too bad the food is so damn generic.
48,390,Riyadh,46.97297896246843,24.882435716427388,Al Bustan Restaurant,46.69093303284533,24.666488712701387,International,Vegetarian Friendly,4.4,"The burger is good beef, cooked just right."
49,383,Jeddah,39.29392116689991,21.4140212715642,Al Baik,39.15947334456595,21.595630718372867,"Fast Food,",Non,4.8,If you want a sandwich just go to any Firehouse!!!!!
50,211,Eastern Province,50.61896058416526,24.237354872641966,Al-Sanbok Restaurant,50.2207337852633,26.27183349049264,"Seafood, International, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.6,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing."
51,448,Eastern Province,55.04881755976604,21.980726027323044,Abu Nawas,50.08247644166936,26.439792133584874,"Lebanese, Mediterranean, Middle Eastern",Vegetarian Friendly,3.6,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.
52,320,Jeddah,39.21660290041469,21.084995319877816,Sura Korean Fine Dining,39.153422420142775,21.55896141574237,"Asian, Korean","Vegetarian Friendly, Vegan Options",4.5,He came running after us when he realized my husband had left his sunglasses on the table.
53,30,Jeddah,39.25178416683733,21.342789199577076,Aromi,39.10926895759512,21.603595561556073,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.8,Their chow mein is so good!
54,152,Jeddah,39.255616203416245,21.88570338554502,Chicken Republic,39.14277525572525,21.571019309804818,"European, Armenian, Arabic, Fast Food",Non,1.6,"They have horrible attitudes towards customers, and talk down to each one when customers do not enjoy their food."
55,264,Eastern Province,49.37239043269334,23.694365691478268,Manoosha Alreef,50.118294522924984,26.445349771191502,"Lebanese, Fast Food, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options",4.9,The portion was huge!
56,13,Jeddah,39.317781564144724,21.406925732527583,Wakame,39.12781682665467,21.577142949028246,"Japanese, Seafood, Sushi, Asian","Vegetarian Friendly, Vegan Options",3.8,"Loved it...friendly servers, great food, wonderful and imaginative menu."
57,476,Riyadh,46.58600366871888,24.734218893564766,Al Bustan Restaurant,46.69093303284533,24.666488712701387,International,Vegetarian Friendly,4.7,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.
58,221,Jeddah,39.11901754901751,21.537483450285503,Al Baik,39.15947334456595,21.595630718372867,"Fast Food,",Non,2.3,Not much seafood and like 5 strings of pasta at the bottom.
59,489,Jeddah,39.21215893518519,21.797166935068955,sayadiyah express,39.17745731867187,21.52752640532202,Seafood,Non,4.1,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked."
60,132,Jeddah,39.29200899994389,21.443462430033115,Ginger Leaf,39.10931546434358,21.6045682395325,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.9,"The ripped banana was not only ripped, but petrified and tasteless."
61,36,Eastern Province,53.16463765456283,20.622700543841137,The Blue Restaurant,50.22054889692208,26.291765783996706,"Seafood, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.2,At least think to refill my water before I struggle to wave you over for 10 minutes.
62,375,Eastern Province,52.52681093662164,27.030551772206056,Abu Nawas,50.08247644166936,26.439792133584874,"Lebanese, Mediterranean, Middle Eastern",Vegetarian Friendly,4.7,This place receives stars for their APPETIZERS!!!
63,230,Eastern Province,55.09641432254799,25.99553954069818,Tandoori House,50.12976373287017,26.30379011242535,Indian,Non,3.9,The cocktails are all handmade and delicious.
64,195,Riyadh,46.97881254466621,24.565545512342535,Burj Al Hamam,46.681993386802766,24.667666188182427,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.6,We 'd definitely go back here again.
65,51,Jeddah,39.311731742232254,21.375593903012568,Chicken Republic,39.14277525572525,21.571019309804818,"European, Armenian, Arabic, Fast Food",Non,4.7,We are so glad we found this place.
66,387,Eastern Province,50.50280180658381,22.718491206647975,il Vero,50.17796256747414,26.367068088525293,"Italian, Romana, Lazio, Central-Italian, Pizza","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.8,"Great food and service, huge portions and they give a military discount."
67,416,Riyadh,46.95109912925184,24.573933720555942,Shawarma House,46.65678745131582,24.756352994549182,"Fast Food, Middle Eastern",Vegetarian Friendly,4.5,Always a great time at Dos Gringos!
68,4,Riyadh,46.9082005237869,24.846514472294146,Tokyo,46.68666408923927,24.71826120724121,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.2,Update.....went back for a second time and it was still just as amazing
69,217,Riyadh,46.982632236990455,24.865237174206193,Shawarma House,46.65678745131582,24.756352994549182,"Fast Food, Middle Eastern",Vegetarian Friendly,2.3,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.
70,342,Eastern Province,48.849161942160336,24.89418448162362,Taya Restaurant,50.20702596747264,26.2918470910966,"Chinese, Indian, Seafood, Grill, Arabic, Barbecue",Non,4.4,A great way to finish a great.
71,184,Eastern Province,53.99386632646059,24.167801427825374,Queen Of India,50.17982930366816,26.328297884880513,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",2.1,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected."
72,211,Eastern Province,53.2547410625252,25.850343079655076,Abu Nawas,50.08247644166936,26.439792133584874,"Lebanese, Mediterranean, Middle Eastern",Vegetarian Friendly,5.0,"Really, really good rice, all the time."
73,476,Eastern Province,54.2593409554415,25.69722378674843,Abu Nawas,50.08247644166936,26.439792133584874,"Lebanese, Mediterranean, Middle Eastern",Vegetarian Friendly,3.6,The service was meh.
74,178,Eastern Province,55.486780293871675,24.999283250262014,Queen Of India,50.17982930366816,26.328297884880513,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",4.4,"It took over 30 min, which was nothing more than chocolate milk."
75,480,Eastern Province,53.978715288225324,27.849976882956824,Steak House,49.569183240425424,27.129411976298083,"American, Steakhouse, Grill","Vegetarian Friendly, Gluten Free Options",1.2,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I did not use my common sense."
76,134,Riyadh,46.578747165475235,24.7475705688214,Zafran Indian Bistro,46.62489930668807,24.752996409227517,"Indian, Healthy, Soups, Grill","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.9,The scallop dish is quite appalling for value as well.
77,182,Riyadh,46.79213520228134,24.609909898821247,Maestro Pizza,46.6187232397638,24.746505346219237,"Italian, Pizza, Fast Food","Vegetarian Friendly, Vegan Options",1.9,Very Bad Customer Service !
78,137,Eastern Province,52.36363583643662,28.86873280203055,Pattis France,50.12045517873375,26.33514140215385,"French, Cafe, European","Vegetarian Friendly, Vegan Options",4.4,The sweet potato fries were very good and seasoned well.
79,135,Eastern Province,48.186053234604415,19.893284371077108,Tandoori House,50.12976373287017,26.30379011242535,Indian,Non,3.7,Today is the second time I've been to their lunch buffet and it was pretty good.
80,495,Jeddah,39.18183269669707,21.569854704802975,Sura Korean Fine Dining,39.153422420142775,21.55896141574237,"Asian, Korean","Vegetarian Friendly, Vegan Options",4.4,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.
81,17,Riyadh,46.781632030447454,24.605060656849044,Maestro Pizza,46.6187232397638,24.746505346219237,"Italian, Pizza, Fast Food","Vegetarian Friendly, Vegan Options",3.9,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.
82,455,Jeddah,39.1920166202915,21.509774551897607,Myazu,39.15292379191963,21.550449421240426,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.3,walked in and the place smelled like an old grease trap and only 2 others there eating.
83,285,Jeddah,39.36628315945756,21.48165012962517,Khayal Restaurant,39.14106005571364,21.60958323990262,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",1.3,The turkey and roast beef were bland.
84,430,Jeddah,39.16237010593303,21.168688714805775,Ginger Leaf,39.10931546434358,21.6045682395325,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.2,This place has it!
85,180,Riyadh,46.827865226974694,24.63201191852863,Burj Al Hamam,46.681993386802766,24.667666188182427,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.6,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.
86,85,Riyadh,46.714665150352594,24.639035360740458,Lotus,46.72754599759453,24.78465287072049,"Chinese, Japanese, Asian, Thai, Sushi","Vegetarian Friendly, Vegan Options",4.2,I love the Pho and the spring rolls oh so yummy you have to try.
87,141,Riyadh,46.93427517839006,24.886650580097847,Al Orjouan,46.63020102633448,24.665121345075363,"Mediterranean, Middle Eastern, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.8,The poor batter to meat ratio made the chicken tenders very unsatisfying.
88,171,Jeddah,39.365005701379275,21.52149272153674,Byblos Restaurant,39.12999500974883,21.572715888585268,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.8,All I have to say is the food was amazing!!!
89,56,Eastern Province,55.336987457887886,26.732792606780617,Taya Restaurant,50.20702596747264,26.2918470910966,"Chinese, Indian, Seafood, Grill, Arabic, Barbecue",Non,3.6,Omelets are to die for!
90,352,Jeddah,39.14305947350152,21.819564863871516,Aromi,39.10926895759512,21.603595561556073,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.6,Everything was fresh and delicious!
91,331,Riyadh,46.92035767782823,24.622638366858816,Burj Al Hamam,46.681993386802766,24.667666188182427,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.2,"In summary, this was a largely disappointing dining experience."
92,217,Eastern Province,55.226507602837536,25.65877150011398,il Vero,50.17796256747414,26.367068088525293,"Italian, Romana, Lazio, Central-Italian, Pizza","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.0,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party."
93,253,Riyadh,46.84693635312993,24.65422895599096,Maestro Pizza,46.6187232397638,24.746505346219237,"Italian, Pizza, Fast Food","Vegetarian Friendly, Vegan Options",3.9,Best breakfast buffet!!!
94,444,Eastern Province,53.27168458890068,21.065936197779067,Queen Of India,50.17982930366816,26.328297884880513,Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options",4.7,We'll never go again.
95,293,Jeddah,39.11391840351274,21.839307823116112,Al Baik,39.15947334456595,21.595630718372867,"Fast Food,",Non,4.7,Will be back again!
96,427,Riyadh,46.880616944265874,24.522712360794827,Zafran Indian Bistro,46.62489930668807,24.752996409227517,"Indian, Healthy, Soups, Grill","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.1,Food arrived quickly!
97,53,Riyadh,46.915781281355926,24.5762208167266,Burj Al Hamam,46.681993386802766,24.667666188182427,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.5,It was not good.
98,193,Jeddah,39.347900004653106,21.696828940800064,sayadiyah express,39.17745731867187,21.52752640532202,Seafood,Non,5.0,"On the up side, their cafe serves really good food."
99,391,Riyadh,46.62733470218758,24.612977721007354,Lusin,46.68345090704749,24.697820747470395,"Mediterranean, Middle Eastern, Armenian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.3,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!"
100,339,Eastern Province,49.03497189368422,20.792606405557077,The Blue Restaurant,50.22054889692208,26.291765783996706,"Seafood, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.6,"Best Buffet in town, for the price you cannot beat it."
101,277,Jeddah,39.194978563846085,21.78073505060258,Khayal Restaurant,39.14106005571364,21.60958323990262,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.3,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious."
102,372,Jeddah,39.36400607255491,21.366644606633752,Al Baik,39.15947334456595,21.595630718372867,"Fast Food,",Non,4.5,This is one of the better buffets that I have been to
103,449,Jeddah,39.30607063516792,21.476447325329083,Byblos Restaurant,39.12999500974883,21.572715888585268,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.1,So we went to Tigerlilly and had a fantastic afternoon!
104,247,Eastern Province,49.949972747107225,26.746283470163974,Taya Restaurant,50.20702596747264,26.2918470910966,"Chinese, Indian, Seafood, Grill, Arabic, Barbecue",Non,4.9,"The food was delicious, our bartender was attentive and personable AND we got a great deal!"
105,341,Jeddah,39.192790599298945,21.606034662732572,Wakame,39.12781682665467,21.577142949028246,"Japanese, Seafood, Sushi, Asian","Vegetarian Friendly, Vegan Options",4.2,The ambience is wonderful and there is music playing.
106,355,Riyadh,46.826156633270564,24.77552713974134,Lotus,46.72754599759453,24.78465287072049,"Chinese, Japanese, Asian, Thai, Sushi","Vegetarian Friendly, Vegan Options",4.0,Will go back next trip out.
107,366,Eastern Province,47.82350990082532,19.635853186946342,Manoosha Alreef,50.118294522924984,26.445349771191502,"Lebanese, Fast Food, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options",3.8,Sooooo good!!
108,140,Jeddah,39.178703299592385,21.23584079741208,Aromi,39.10926895759512,21.603595561556073,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.6,let's be honest - is not that good.
109,319,Jeddah,39.102571499682135,21.84606637982816,Al Baik,39.15947334456595,21.595630718372867,"Fast Food,",Non,1.2,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy."
110,200,Riyadh,46.781052499702454,24.54137220929199,Maestro Pizza,46.6187232397638,24.746505346219237,"Italian, Pizza, Fast Food","Vegetarian Friendly, Vegan Options",4.4,This is a really fantastic Thai restaurant which is definitely worth a visit.
111,268,Jeddah,39.32061008935798,21.63570085281575,Al-Saaj Al-Reefi,39.13725262953653,21.621796790157557,"Fast Food, Middle Eastern, Lebanese, Mediterranean",Non,4.1,Good prices.
112,454,Riyadh,46.70015870116837,24.839659152425423,Cafe Bateel,46.6293846412173,24.756378717673098,"Cafe, Healthy, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.1,Check it out.
113,66,Riyadh,46.841141732781495,24.701629365131883,Cafe Bateel,46.6293846412173,24.756378717673098,"Cafe, Healthy, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.1,It was pretty gross!
114,46,Jeddah,39.12778397140185,21.175333454021395,Khayal Restaurant,39.14106005571364,21.60958323990262,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.9,I've had better atmosphere.
115,474,Jeddah,39.17927471397165,21.5550116579199,Aromi,39.10926895759512,21.603595561556073,"Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.3,This place is amazing!
116,405,Eastern Province,51.42079689772317,25.78092865767382,Manoosha Alreef,50.118294522924984,26.445349771191502,"Lebanese, Fast Food, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options",4.6,Kind of hard to mess up a steak but they did.
117,262,Jeddah,39.2639312195962,21.11513317258472,Ginger Leaf,39.10931546434358,21.6045682395325,"Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.5,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing."
118,160,Jeddah,39.37101194382692,21.218650158375663,Byblos Restaurant,39.12999500974883,21.572715888585268,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.1,"Worst service to boot, but that is the least of their worries."
119,69,Jeddah,39.197714651020824,21.808653179818428,Wakame,39.12781682665467,21.577142949028246,"Japanese, Seafood, Sushi, Asian","Vegetarian Friendly, Vegan Options",4.7,Service was fine and the waitress was friendly.
120,163,Riyadh,46.53265738347619,24.517621931421257,Maestro Pizza,46.6187232397638,24.746505346219237,"Italian, Pizza, Fast Food","Vegetarian Friendly, Vegan Options",4.1,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night."
121,109,Eastern Province,48.88470012741165,20.868391519616615,Abu Nawas,50.08247644166936,26.439792133584874,"Lebanese, Mediterranean, Middle Eastern",Vegetarian Friendly,4.3,"Host staff were, for lack of a better word, BITCHES!"
122,129,Jeddah,39.27925360428651,21.660668368488263,sayadiyah express,39.17745731867187,21.52752640532202,Seafood,Non,1.2,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...
123,250,Jeddah,39.280503709044595,21.44669269528214,sayadiyah express,39.17745731867187,21.52752640532202,Seafood,Non,4.1,"Phenomenal food, service and ambiance."
124,29,Jeddah,39.159845230370564,21.199590134198406,Myazu,39.15292379191963,21.550449421240426,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.5,I wouldn't return.
125,122,Jeddah,39.24064369844031,21.625376429865685,Wakame,39.12781682665467,21.577142949028246,"Japanese, Seafood, Sushi, Asian","Vegetarian Friendly, Vegan Options",4.8,Definitely worth venturing off the strip for the cow meat.
126,172,Jeddah,39.36162384887544,21.556111186133577,Al-Saaj Al-Reefi,39.13725262953653,21.621796790157557,"Fast Food, Middle Eastern, Lebanese, Mediterranean",Non,2.6,This place is way too overpriced for mediocre food.
127,157,Riyadh,46.838374390272875,24.62872864923297,Tokyo,46.68666408923927,24.71826120724121,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.8,orange juice excellent!
